id,nom,nom_developpe,guide_eco,guide_innov,eti,secteur_eco,secteur_innov,adr0,adr1,adr2,cp,ville,cedex,pays,tel1,tel2,fax,email,web,siren,siret,naf,sicovam,forme_juridique,autre_forme_juridique,etablissement,type_structure,actionnaire,nationalite,effectif,annee_effectif,ca,annee_ca,groupe,nationalite_groupe,effectif_groupe,annee_effectif_groupe,ca_groupe,annee_ca_groupe,regroupement,contact_maj_civ,contact_maj_nom,contact_maj_prenom,contact_maj_fonction,contact_maj_email,contact_maj_tel,changed,
3551,ACOEM (EX-01DB-METRAVIB),NULL,1,0,0,Etudes / Ingénierie / Architecture,NULL,NULL,200 chemin des Ormeaux,NULL,69578,Limonest ,cedex,FR,04 72 52 48 00,NULL,04 72 52 47 47,NULL,www.acoemgroup.fr,409869708,40986970800019,7120B,NULL,SAS,NULL,Siège,Entreprise,NULL,NULL,200 à 299,2016,43,2 M€,2016,NULL,NULL,670,2016,86 M€,2016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1498470802,
3552,2L MULTIMEDIA - EASYFLIRT,NULL,1,0,0,Logiciels / Services Numériques,NULL,Park Nord,Les Pléiades n°33,NULL,74370,Epagny-Metz-Tessy,NULL,FR,01 77 35 34 17,NULL,NULL,NULL,www.easyflirt-partners.biz,439055591,43905559100044,6312Z,NULL,SAS,NULL,Siège,Entreprise,Cupertino Trust,NULL,21,2017,18,6 M€,2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1535720279,
3553,2SL,Société lyonnaise de services et logistique,1,0,0,Etudes / Ingénierie / Architecture,NULL,NULL,17 rue des Docks,NULL,69009,Lyon,NULL,FR,04 72 29 18 33,NULL,NULL,NULL,NULL,441963949,44196394900017,6311Z,NULL,SAS,NULL,Siège,Entreprise,NULL,NULL,50 à 99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1544629903,
3554,3 I D ,,1,0,0,Maintenance / Nettoyage,NULL,ZA les Plaines,rue de Mordecet,,26320,Saint-Marcel-lès-Valence,NULL,FR,0 820 820 901,,0 820 000 093,3id@3id.fr,www.3id.fr,398741777,39874177700013,8129B,,SAS,NULL,Siège,Entreprise,Yvars investissements (Montvendre, 26),,NULL,NULL,NULL,NULL,,,121,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472922384,
3555,3M BRICOLAGE ET BÂTIMENT,NULL,1,0,0,Plasturgie / Caoutchouc / Composites,NULL,NULL,65 Rue de chambourg,NULL,01100,Oyonnax,NULL,FR,04 74 12 05 10,NULL,NULL,NULL,www.gpi.fr,379622160,37962216000024,2229B,NULL,SAS,SASU,Siège,Entreprise,NULL,NULL,335,2016,102,2 M€,2016,3M,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1512750360,
3557,NOVITAWEB,NULL,0,0,0,Logiciels / Services Numériques,NULL,NULL,1811 route de la Plaine\n,NULL,01200,Châtillon-en-Michaille,NULL,FR,04 50 48 05 72,NULL,NULL,contact@novitaweb.com ,www.novitaweb.com,801 573 502,80157350200029,6201Z,NULL,SAS,NULL,Siège,Entreprise,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1538731376,
3558,Autoconciergerie.fr,,0,0,0,Logistique / Transport,NULL,,4 rue Bizet,,69150,decines,NULL,FR,0776697861,,0776697861,autoconciergerie@gmail.com,www.autoconciergerie.fr,815154273,81515427300016,4511Z,,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472922384,
3559,KEEPCALL 4CS,Call Center contact clients solutions,1,0,0,Télécommunications,NULL,ZI Grande église,chemin du Colombier,,69590,Saint-Symphorien-sur-Coise,NULL,FR,04 78 44 31 52,06 16 55 86 54,04 78 44 35 49,keepcall@keepcall.fr,www.keepcall.fr,432973147,43297314700015,8220Z,,SARL,NULL,Siège,Entreprise,,,140,NULL,NULL,NULL,,,140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472922384,
3560,5ÈME SAISON CALUIRE BAKKAVOR,,0,0,0,Commerce / Négoce,NULL,Cité Park bât. F,23 av. Poumeyrol,,69647,Caluire ,cedex,FR,04 72 26 22 62,,04 72 26 22 63,info@5emesaison.com,www.bakkavor.com,342567534,34256753400041,4631Z,,SAS,NULL,Siège,Entreprise,Bakkavor foods / Grande Bretagne / 100%,,497,NULL,NULL,NULL,Bakkavör Group,Islande,800,NULL,NULL,NULL,NULL,Mme,NULL,NULL,NULL,NULL,NULL,1472922384,
3561,KESTIO,,0,0,0,Conseil / Audit,NULL,14 B Chemin du Professeur Deperet,Les Bureaux Verts,,69160,Tassin La Demi Lune,NULL,FR,33472381117,,33472381117,noemie.meylan@kestio.com,www.kestio.com,485190433,KESTIO SARL,7022Z,,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1472922384,
3562,ARAYMOND,NULL,1,0,0,Mécanique / Métallurgie,NULL,NULL,113 cours Berriat,NULL,38019,Grenoble ,cedex  1,FR,04 76 33 49 49,01 49 75 44 81,04 76 48 20 59,contact@araymond.com,www.araymond.com,352948434,35294843400019,2229A,NULL,SCS,NULL,Siège,Entreprise,NULL,NULL,726,2017,184,5 M€,2017,NULL,NULL,7000,2017,1200 M€,2017,NULL,Mme,ROBICHON,Bénédicte,Assistante marketing,benedicte.robichon@araymond.com,NULL,1562594045,
